	f1	f2	f3	f4	f5	preds_binary
0	0.00218	0.01387	0.02594	0.00317	-0.00082	1
1	0.00939	0.00644	0.01258	0.00775	-0.00069	1
2	0.0066	0.00627	0.00959	0.00459	0.00315	1
3	0.00021	0.00995	0.01236	0.00718	-0.00148	1
4	0.00227	0.0028	0.00859	0.00554	-0.00679	1
5	-0.00251	0.01086	0.00473	0.00485	-0.00086	1
6	0.0007	0.00517	0.00602	0.00835	0.00174	1
7	0.00239	0.00386	0.00839	0.00387	-0.00053	1
8	0.00245	0.00431	0.00449	0.0039	-0.00242	1
9	0.00485	0.00297	0.00854	0.01115	-0.00664	1
10	0.0005	-0.00368	0.01059	0.00441	0.001	1
11	0.0091	0.00188	0.00853	0.01239	-0.00248	1
12	0.0043	0.00699	0.00247	0.00291	-0.00287	1
13	0.00256	0.01108	0.0083	0.00687	0.00108	1
14	0.00061	0.00996	0.00803	0.00781	0.00398	1
15	0.00339	0.0104	0.00659	0.00692	0.00333	1
16	0.00508	0.00858	0.00965	0.00747	0.00202	1
17	0.00562	0.00379	0.00605	0.01016	0.00091	1
18	-0.00351	0.00581	0.00258	0.00334	-0.00138	1
19	0.00272	0.00719	0.00904	0.00818	-0.00107	1
20	0.007	0.0084	0.00416	0.00908	-0.00333	1
21	0.00415	0.01	0.00764	0.00548	0.00481	1
22	0.00167	0.00425	0.00423	0.0056	0.00103	1
23	0.00243	0.00776	0.00423	0.00752	0.00191	1
24	0.00707	0.00481	0.00735	0.00629	7e-05	1
25	0.00464	0.00717	0.00942	0.00619	-0.00275	1
26	0.00579	0.00158	0.00706	-0.00046	0.00253	1
27	0.00069	0.00567	0.00566	0.00634	0.00357	1
28	0.00218	0.01387	0.02594	0.00317	-0.00082	1
29	0.00939	0.00644	0.01258	0.00775	-0.00069	1
30	0.0066	0.00627	0.00959	0.00459	0.00315	1
31	0.00021	0.00995	0.01236	0.00718	-0.00148	1
32	0.00227	0.0028	0.00859	0.00554	-0.00679	1
33	-0.00251	0.01086	0.00473	0.00485	-0.00086	1
34	0.0007	0.00517	0.00602	0.00835	0.00174	1
35	0.00239	0.00386	0.00839	0.00387	-0.00053	1
36	0.00245	0.00431	0.00449	0.0039	-0.00242	1
37	0.00485	0.00297	0.00854	0.01115	-0.00664	1
38	0.0005	-0.00368	0.01059	0.00441	0.001	1
39	0.0091	0.00188	0.00853	0.01239	-0.00248	1
40	0.0043	0.00699	0.00247	0.00291	-0.00287	1
41	0.00256	0.01108	0.0083	0.00687	0.00108	1
42	0.00061	0.00996	0.00803	0.00781	0.00398	1
43	0.00339	0.0104	0.00659	0.00692	0.00333	1
44	0.00508	0.00858	0.00965	0.00747	0.00202	1
45	0.00562	0.00379	0.00605	0.01016	0.00091	1
46	-0.00351	0.00581	0.00258	0.00334	-0.00138	1
47	0.00272	0.00719	0.00904	0.00818	-0.00107	1
48	0.007	0.0084	0.00416	0.00908	-0.00333	1
49	0.00415	0.01	0.00764	0.00548	0.00481	1
50	0.00167	0.00425	0.00423	0.0056	0.00103	1
51	0.00243	0.00776	0.00423	0.00752	0.00191	1
52	0.00707	0.00481	0.00735	0.00629	7e-05	1
53	0.00464	0.00717	0.00942	0.00619	-0.00275	1
54	0.00579	0.00158	0.00706	-0.00046	0.00253	1
55	0.00069	0.00567	0.00566	0.00634	0.00357	1
56	0.00218	0.01387	0.02594	0.00317	-0.00082	1
57	0.00939	0.00644	0.01258	0.00775	-0.00069	1
58	0.0066	0.00627	0.00959	0.00459	0.00315	1
59	0.00021	0.00995	0.01236	0.00718	-0.00148	1
60	0.00227	0.0028	0.00859	0.00554	-0.00679	1
61	-0.00251	0.01086	0.00473	0.00485	-0.00086	1
62	0.0007	0.00517	0.00602	0.00835	0.00174	1
63	0.00239	0.00386	0.00839	0.00387	-0.00053	1
64	0.00245	0.00431	0.00449	0.0039	-0.00242	1
65	0.00485	0.00297	0.00854	0.01115	-0.00664	1
66	0.0005	-0.00368	0.01059	0.00441	0.001	1
67	0.0091	0.00188	0.00853	0.01239	-0.00248	1
68	0.0043	0.00699	0.00247	0.00291	-0.00287	1
69	0.00256	0.01108	0.0083	0.00687	0.00108	1
70	0.00061	0.00996	0.00803	0.00781	0.00398	1
71	0.00339	0.0104	0.00659	0.00692	0.00333	1
72	0.00508	0.00858	0.00965	0.00747	0.00202	1
73	0.00562	0.00379	0.00605	0.01016	0.00091	1
74	-0.00351	0.00581	0.00258	0.00334	-0.00138	1
75	0.00272	0.00719	0.00904	0.00818	-0.00107	1
76	0.007	0.0084	0.00416	0.00908	-0.00333	1
77	0.00415	0.01	0.00764	0.00548	0.00481	1
78	0.00167	0.00425	0.00423	0.0056	0.00103	1
79	0.00243	0.00776	0.00423	0.00752	0.00191	1
80	0.00707	0.00481	0.00735	0.00629	7e-05	1
81	0.00464	0.00717	0.00942	0.00619	-0.00275	1
82	0.00579	0.00158	0.00706	-0.00046	0.00253	1
83	0.00069	0.00567	0.00566	0.00634	0.00357	1
