	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54
0	-0.05725	85.61979	-0.57004	0.00043	0.01462	-0.00036	0.07941	-120.4241	0.60232	-0.00053	-0.01729	0.00016	-0.01466	-90.55836	0.06079	-0.00042	-0.01312	-0.00013	0.02309	-59.88132	-0.33805	-0.00033	-0.00727	-9e-05	-0.03325	42.71197	-0.44009	8e-05	0.00327	0.00031	-0.00902	-2.36807	0.4263	2e-05	-0.00083	-8e-05	0.09028	-41.95963	0.56284	-0.00013	-0.00107	0.00016	-0.00337	-48.07866	0.06561	-0.00025	-0.00503	-0.00027	0.01031	-29.66207	-0.05755	-0.0002	-0.00224	0.00022
1	-0.05929	-29.98931	-0.51017	-0.00022	0.00165	-0.00028	0.09805	-73.44152	0.92569	-0.00027	-0.01181	-0.0002	-0.1066	-43.20247	-0.69725	-0.00021	-0.0006	-0.00011	0.07984	-115.05912	0.11778	-0.0009	-0.01754	-0.00018	-0.02486	3.65367	-0.29011	-0.00023	-0.00332	-0.00013	0.06911	9.6335	0.35509	-0.00022	-0.00038	-7e-05	-0.01151	-33.89482	0.02551	-0.00026	-0.00917	-0.00051	0.03384	-106.20529	0.51989	-0.00083	-0.02033	5e-05	0.09535	40.29908	0.49029	0.00053	0.00905	8e-05
2	-0.09182	31.44623	-0.44449	-4e-05	-0.00041	-7e-05	-0.12929	-64.39663	-1.5322	-0.00025	-0.00212	-0.0	-0.02332	-70.42793	-0.00975	-0.0006	-0.01684	-4e-05	0.12203	-34.15078	0.98939	-0.00027	-0.00309	-0.0001	-0.14704	-40.26206	-1.18526	-0.00028	-0.00934	-0.00011	-0.08369	-72.93332	-0.6622	-0.00035	-0.01392	-0.00017	0.0772	64.46731	0.69473	0.00026	0.00524	0.00024	-0.02299	-11.90758	0.26914	-0.0002	-0.00698	5e-05	-0.05619	1.59764	-0.83558	0.00035	0.00796	3e-05
3	0.00386	-89.27971	-0.02473	-0.00057	-0.01318	-1e-05	-0.09924	-15.99727	-0.94716	4e-05	0.00308	0.00016	0.02012	29.19226	0.10519	0.00025	0.00949	0.00031	-0.01548	37.17059	0.16435	0.00021	0.00527	9e-05	-0.00955	-28.6539	-0.36445	2e-05	0.00435	-0.00016	-0.00492	-11.63102	-0.29961	-8e-05	-0.00052	2e-05	0.03359	-12.2505	0.55262	1e-05	-0.00207	0.00016	-0.05213	-13.72181	-0.27366	0.00012	0.00026	-0.0002	-0.03029	-24.88705	-0.29264	-0.0001	-0.00662	0.00013
4	-0.04217	110.97653	-0.20703	0.00095	0.02382	-9e-05	-0.04014	-28.14971	-0.46358	-0.0001	0.00022	0.00056	0.0333	-92.21697	-0.10574	-0.00055	-0.00773	5e-05	-0.00721	-110.38957	-0.20943	-0.00071	-0.01409	3e-05	0.03855	-5.8754	0.48011	-4e-05	-0.00189	-0.00016	-0.01013	118.65933	-0.09857	0.00079	0.02273	1e-05	0.02155	-149.31029	0.00315	-0.00056	-0.01633	-0.00058	-0.02824	34.94152	-0.38184	0.00026	0.01133	-8e-05	0.03799	3.08695	-0.01352	-2e-05	0.00157	-0.00013
5	0.0519	-6.60134	-0.00509	4e-05	0.00369	-6e-05	-0.11298	-36.83908	-1.1809	-5e-05	0.00525	-5e-05	0.11588	-6.85106	0.61668	9e-05	0.00204	0.00017	0.17513	77.41095	1.34511	0.00037	0.01174	-2e-05	0.0296	0.86344	-0.12636	0.00019	0.01005	0.0001	-0.0073	-50.46061	-0.53866	-0.0001	0.00141	-9e-05	0.18905	74.81289	1.27868	0.0006	0.01929	-1e-05	0.09106	45.04688	0.68857	0.00022	0.00961	8e-05	-0.04357	-54.00331	-0.54851	-0.00015	-0.00108	-7e-05
6	-0.13389	157.18798	-1.01075	0.00081	0.02908	2e-05	-0.04688	144.23197	-0.70074	0.00074	0.02858	-7e-05	0.13262	102.01474	1.10146	0.00052	0.01842	7e-05	0.03867	-4.4503	0.07522	0.0001	0.00625	-0.0001	-0.05688	-14.92876	-0.898	9e-05	0.00787	-0.00012	0.02706	-17.4321	0.4044	-0.00033	-0.00791	8e-05	-0.05618	-122.90436	0.07083	-0.00056	-0.01707	6e-05	-0.03649	57.0842	-0.64986	0.00012	0.00187	0.00011	0.14253	-185.03971	0.76325	-0.00092	-0.02737	-0.00056
7	-0.01723	14.45567	-0.06366	0.00014	0.00665	-5e-05	0.04972	-46.98932	0.11705	-0.00014	-0.00382	0.00011	-0.07447	-99.20734	-0.65913	-0.00063	-0.01419	-7e-05	0.07357	-37.91343	0.24604	-0.00019	-0.00434	-7e-05	0.03583	-75.24208	0.23574	-0.00044	-0.01134	6e-05	-0.00129	107.84986	0.05887	0.0007	0.01778	7e-05	-0.05067	25.83317	-0.49127	0.00031	0.00878	-7e-05	0.01967	39.52779	0.27926	0.00049	0.00927	6e-05	-0.02186	32.77794	-0.21432	0.00029	0.0082	0.00017
8	0.0478	-28.05333	0.30857	5e-05	-0.00223	-0.00026	-0.06565	65.13041	-0.29291	0.00041	0.00635	7e-05	0.00287	-116.44525	0.59815	-0.00061	-0.0222	0.00017	0.04226	-83.01132	0.71408	-0.00038	-0.01801	-0.00016	0.0189	-18.69719	-0.21918	0.00013	0.00121	-6e-05	0.02613	29.79184	0.18649	0.00014	-0.00137	-0.00018	0.0712	128.18511	0.92101	0.0006	0.01278	6e-05	-0.12286	-53.9975	-0.668	-0.00037	-0.01197	0.00013	-0.0181	5.64606	-0.18857	3e-05	0.00443	0.00031
9	-0.04572	-22.74086	-0.57197	-0.00015	-0.00115	2e-05	-0.07822	52.18165	-0.84107	0.00042	0.01309	9e-05	0.05031	1.15388	0.3595	5e-05	0.00242	0.00018	-0.02117	4.41969	0.71835	2e-05	-0.00238	-9e-05	-0.00776	-13.12327	-0.37441	-0.0	0.00481	7e-05	-0.02328	78.83081	-0.55283	0.00045	0.01588	6e-05	0.08648	18.71086	1.01372	9e-05	0.0011	0.00023	0.0651	117.92846	-0.33308	0.00077	0.02528	0.00043	0.02675	-28.07986	0.00772	1e-05	0.0037	0.00011
10	0.04336	83.94492	0.18997	0.0005	0.01197	-0.00011	-0.01209	3.92465	0.28255	-0.00024	-0.00474	0.00038	-0.037	-50.72125	-0.46412	-0.00016	-0.004	-0.00037	-0.05797	-9.96153	-0.69987	6e-05	-0.00207	-0.00021	-0.0055	33.06701	0.04098	0.00026	0.00573	-0.00012	0.00421	-22.17673	-0.55941	-0.00015	0.00328	0.00056	-0.04947	48.8058	-0.29477	0.0003	0.00676	-6e-05	0.07961	-38.06404	0.40222	-0.00033	-0.01078	-0.00025	0.01732	-41.1742	-0.15751	-2e-05	0.00125	-0.00039
11	-0.03687	-28.97382	-0.17982	-0.00013	-0.0061	0.00035	-0.16149	58.25689	-0.74778	0.00022	0.00713	0.00013	-0.04579	-166.40055	-0.79269	-0.00064	-0.01091	0.00024	0.05222	-7.26901	0.34615	-0.00017	-0.00185	7e-05	0.12255	19.92814	0.63152	0.00017	0.00566	7e-05	0.07474	4.07437	0.75233	4e-05	-0.00243	5e-05	-0.20242	-14.78214	-1.60264	-6e-05	-0.00142	2e-05	0.01896	24.11949	0.13552	3e-05	0.00326	-0.00019	0.16407	-97.96892	0.76681	-0.00043	-0.00608	0.0005
12	-0.05765	-141.30269	-0.85593	-0.00088	-0.0193	-0.00029	-0.06146	0.26151	-0.21398	2e-05	-0.00151	0.00027	0.03397	-70.05884	0.12993	-0.00035	-0.00554	-0.00011	-0.01586	20.76477	-0.16784	0.00022	0.00505	-0.00026	0.03693	46.52098	0.17497	0.0002	0.0113	-0.0001	-0.00445	-27.61131	-0.09933	-8e-05	-0.00066	0.00024	-0.017	5.9446	-0.26439	-0.00014	-0.00199	-0.00022	-0.02416	-26.66256	-0.2547	-6e-05	-0.0006	0.00023	-0.02682	7.54467	-0.36465	0.00021	0.00528	0.00021
13	-0.04216	-86.44377	-0.4626	-0.0006	-0.00905	-4e-05	0.06629	5.21334	0.62861	-5e-05	-0.00016	0.00026	-0.07091	-61.40612	-0.5095	-0.00014	0.00087	0.00025	-0.06673	67.48025	-0.41248	0.00048	0.00901	7e-05	0.08354	162.68592	0.1548	0.00146	0.03314	2e-05	-0.02512	79.65429	-0.41498	0.00055	0.0187	-9e-05	-0.02031	-90.45754	-0.52706	-0.00026	-0.00478	-0.00014	0.0053	71.45639	0.00286	0.00036	0.00404	-7e-05	-0.03999	-42.29844	-0.53576	0.00026	0.00536	9e-05
14	0.03571	-73.23346	0.42906	-0.00043	-0.01287	-0.00053	0.03614	36.60775	0.13762	0.00058	0.01839	-0.00013	-0.03462	93.92844	0.03353	0.00036	0.00821	-9e-05	0.05323	-23.33175	0.48799	-0.00046	-0.01017	0.00013	-0.045	46.9569	-0.29581	0.00019	0.00067	-0.00019	0.03658	73.39311	-0.37079	0.00079	0.02367	3e-05	-0.00089	-180.98368	0.12608	-0.00109	-0.02979	1e-05	0.06646	25.54074	-0.08902	0.00022	0.01147	-0.00019	-0.07614	118.83211	-0.11671	0.00078	0.02075	6e-05
15	-0.00337	43.84213	-0.06617	0.0002	0.00758	-0.00036	0.04484	150.14609	-0.04938	0.00101	0.0291	0.00032	-0.0187	64.36069	-0.01062	0.00056	0.00604	-0.00019	-0.00491	20.28934	-0.08038	0.00016	0.00658	2e-05	-0.01998	7.59219	0.17109	7e-05	-0.00043	0.00012	-0.06426	80.77137	-0.47682	0.00058	0.01461	0.00035	-0.00527	53.72899	-0.08201	0.00027	0.01204	0.00049	-0.00712	85.10405	0.03894	0.00044	0.01118	-0.00017	-0.01788	145.47124	-0.05265	0.00069	0.02218	-0.00012
16	-0.01125	172.50239	0.24035	0.00107	0.03156	0.00024	0.06276	-67.64746	0.06399	-0.00056	-0.00425	3e-05	-0.22198	34.16685	-0.89948	0.00026	0.0134	-0.00014	0.02305	28.54497	-0.83795	2e-05	0.01085	-0.00053	0.21467	32.90408	1.55522	1e-05	0.00772	8e-05	0.02001	39.28007	0.24504	0.00049	0.00943	-0.00015	0.01942	-50.36799	0.60709	-0.00033	-0.00843	-0.00016	-0.17666	-167.37364	-0.9091	-0.00127	-0.03215	-4e-05	0.03196	-43.57218	0.77905	-0.00042	-0.01254	-0.00023
17	-0.00681	-73.53357	-0.03179	-0.0004	-0.00887	-6e-05	-0.05235	-12.04313	-0.19627	0.00014	0.00483	0.00012	0.04753	-31.96663	0.07721	-0.00018	0.00299	0.00011	-0.00792	-2.25799	0.10697	6e-05	-0.00267	-4e-05	-0.01177	43.98219	-0.16823	0.00031	0.01312	0.00019	0.07878	49.81789	0.73523	0.00033	0.00941	6e-05	0.03953	55.55927	0.7805	0.00022	0.00618	-0.00024	-0.03573	-102.15865	-0.49442	-0.00048	-0.01328	-3e-05	0.02303	-15.35001	-0.19396	0.00023	0.00569	-0.0001
18	-0.05232	0.16373	-0.33754	-6e-05	0.00331	-0.00022	-0.04844	-64.6507	-0.9005	-0.00039	-0.00638	-0.00033	0.08171	-38.00697	0.4076	-0.00011	0.00165	-9e-05	0.03888	24.71172	0.19572	0.00034	0.00641	0.00021	0.01058	18.41113	0.03403	0.00026	0.01028	-3e-05	-0.07431	27.98507	-0.72894	-2e-05	0.00191	-0.00023	-0.06583	0.83806	-0.22169	-8e-05	-0.0034	9e-05	-0.00269	-95.97009	-0.07362	-0.00048	-0.01306	-0.00039	-0.05095	-49.87451	-0.37588	-0.00022	-0.00591	-0.00028
19	-0.00705	-55.00994	-0.53008	-0.00026	-0.00574	-7e-05	-0.10784	10.87059	-0.40246	5e-05	-2e-05	0.00133	0.03176	-21.29505	0.21071	-0.00012	0.00086	0.00014	0.0567	-53.94677	0.90956	-0.00035	-0.00765	0.00089	-0.01573	-12.63291	0.09087	-0.00011	-0.00392	0.00029	0.01531	49.74282	-1.02951	0.00025	0.01251	0.00052	0.22554	130.28808	1.72943	0.0005	0.01809	0.0004	0.01378	3.87221	-0.06194	-0.00012	0.00318	0.00041	-0.02294	-33.86406	0.09571	-0.00018	-0.00178	0.00071
20	-0.02652	162.51239	-0.34557	0.00067	0.00908	1e-05	0.12005	173.10283	1.87155	0.00097	0.0249	0.00138	-0.0258	144.83239	-0.21101	0.00055	0.00581	0.00016	0.06447	203.10725	1.93871	0.00098	0.02241	0.00122	0.01833	191.83602	-0.18091	0.00088	0.01344	0.00011	0.06062	187.49202	1.85823	0.0009	0.02247	0.00125	0.01112	164.51831	-0.14511	0.00072	0.00895	0.00021	0.09254	171.82152	1.97966	0.00088	0.02209	0.00129	0.01979	134.01127	-0.19565	0.00044	0.00733	0.00022
21	0.05399	84.31705	0.49909	0.00053	0.01427	-6e-05	0.04654	-135.43173	-0.03515	-0.0009	-0.01478	0.0003	0.04128	-14.9599	0.38524	-0.0002	-0.00551	-0.00019	-0.11557	137.69189	-0.61763	0.00081	0.01484	0.0	0.05726	3.64099	0.27684	0.00017	0.00106	-9e-05	0.0811	-148.63756	-0.07055	-0.00105	-0.0196	4e-05	-0.01557	46.87147	0.40344	0.00014	-0.00064	4e-05	0.04699	30.04228	0.57964	9e-05	-0.00053	0.00022	0.04025	-72.14657	-0.11484	-0.00045	-0.00824	-0.00015
22	0.11818	35.99028	1.24829	0.00026	0.01172	-0.0001	-0.00792	-7.38485	-0.4398	0.00018	0.00264	0.00046	0.13703	-109.68252	0.79373	-0.00066	-0.00564	0.00046	-0.04862	-106.59269	-1.04585	-0.00021	-0.00152	0.00048	-0.02046	-2.98176	-0.4962	-0.00012	-0.00226	0.00012	-0.0874	159.43906	-0.31826	0.0008	0.01861	-0.00051	0.00833	81.90748	-0.28229	0.00031	0.0125	0.00066	-0.0276	-91.94437	0.55762	-0.00036	-0.02269	-5e-05	0.00553	-70.26875	-0.00528	-0.00054	-0.01887	-0.00054
23	-0.0291	-97.19233	-0.88553	-0.00061	-0.01042	0.00011	0.00894	74.38453	0.43018	0.00041	0.01006	-0.00022	-0.04666	-76.14195	-0.45382	-0.00039	-0.00428	5e-05	-0.0579	198.01015	0.11878	0.001	0.02606	-3e-05	-0.0079	2.67271	-0.26186	3e-05	0.00421	0.00049	0.0034	97.18584	0.29918	0.00042	0.012	0.00065	0.03481	-99.45901	-0.2151	-0.0005	-0.00554	-2e-05	-0.00181	179.40146	0.0137	0.00125	0.02661	8e-05	-0.00125	-16.9564	-0.28856	-0.00031	-0.00135	-0.0001
24	-0.01072	-331.30591	0.40657	-0.00185	-0.04828	-3e-05	0.14534	-102.35689	1.01366	-0.00092	-0.01006	-0.00017	0.08266	120.10496	0.58896	0.00111	0.01525	0.00048	-0.0292	-60.70812	-0.48027	-0.00074	-0.00272	0.00022	0.02596	106.25594	0.35865	0.00052	0.01451	-0.0001	-0.0534	32.04096	-0.15492	0.00068	0.01172	-0.00012	0.01431	-107.39594	-0.15063	-0.00061	-0.01398	0.0003	0.07581	-56.28039	0.07285	-0.00072	-0.01379	-0.00019	-0.08966	162.9137	-0.60551	0.00075	0.0178	0.00017
25	0.03131	-30.20967	-0.10757	-0.00017	-0.00097	0.00016	-0.13002	24.67804	-0.94189	0.00018	0.00298	0.00015	0.06651	11.90522	0.26809	0.00023	0.00976	0.00024	0.00498	68.57552	0.12178	0.00054	0.01395	-0.00022	-0.04869	7.28563	-0.41994	0.0001	0.00213	-0.00019	-0.00982	-0.85743	0.09684	-6e-05	-0.00379	2e-05	0.10186	-55.55219	0.6822	-0.00013	-0.00268	-0.0002	-0.0549	-49.11488	-0.21534	-0.00014	-0.00993	-0.00015	-0.03422	-15.4496	-0.26947	-0.0001	-0.00515	0.00021
26	-0.02035	-156.87714	-0.56103	-0.00078	-0.01752	-0.00053	0.00597	-15.44901	0.10248	-0.00017	-0.00565	0.00017	-0.15381	54.00639	-0.73427	0.00021	0.00628	-0.00016	0.12232	67.33231	0.26696	0.0001	0.01128	0.00032	0.01288	-40.14713	-0.17982	-0.00033	-1e-05	-0.00045	-0.03986	185.49349	0.3186	0.00087	0.02008	0.00027	-0.0263	-123.84011	-0.37567	-0.00064	-0.01576	-0.00053	-0.03349	66.93805	0.08566	0.0005	0.00472	0.00024	-0.03379	52.0933	-0.50292	0.00019	0.01077	0.00012
