protein	class	lag	features
>10000	1	l1	0.00624,0.01187,0.01130,0.01009,0.01520,0.01187,0.01130,0.01009,0.01520,0.00624,0.01130,0.01009,0.01520,0.00624,0.01187,0.01009,0.01520,0.00624,0.01187,0.01130
>10000	1	l2	-0.00076,-0.01425,0.01485,0.00543,-0.01042,-0.01425,0.01485,0.00543,-0.01042,-0.00076,0.01485,0.00543,-0.01042,-0.00076,-0.01425,0.00543,-0.01042,-0.00076,-0.01425,0.01485
>10000	1	l3	0.00328,-0.01184,-0.00791,-0.00070,-0.00977,-0.01184,-0.00791,-0.00070,-0.00977,0.00328,-0.00791,-0.00070,-0.00977,0.00328,-0.01184,-0.00070,-0.00977,0.00328,-0.01184,-0.00791
>10000	1	l4	0.01171,-0.00349,0.00286,-0.00265,-0.00854,-0.00349,0.00286,-0.00265,-0.00854,0.01171,0.00286,-0.00265,-0.00854,0.01171,-0.00349,-0.00265,-0.00854,0.01171,-0.00349,0.00286
>10000	1	l5	-0.00199,0.00524,-0.01378,-0.00051,-0.01106,0.00524,-0.01378,-0.00051,-0.01106,-0.00199,-0.01378,-0.00051,-0.01106,-0.00199,0.00524,-0.00051,-0.01106,-0.00199,0.00524,-0.01378
>10000	1	l6	-0.00742,0.01234,-0.01543,-0.00394,-0.01629,0.01234,-0.01543,-0.00394,-0.01629,-0.00742,-0.01543,-0.00394,-0.01629,-0.00742,0.01234,-0.00394,-0.01629,-0.00742,0.01234,-0.01543
>10000	1	l7	0.00415,-0.00054,-0.01741,0.00671,-0.00829,-0.00054,-0.01741,0.00671,-0.00829,0.00415,-0.01741,0.00671,-0.00829,0.00415,-0.00054,0.00671,-0.00829,0.00415,-0.00054,-0.01741
>10000	1	l8	0.00174,-0.01249,-0.00908,-0.00478,0.01707,-0.01249,-0.00908,-0.00478,0.01707,0.00174,-0.00908,-0.00478,0.01707,0.00174,-0.01249,-0.00478,0.01707,0.00174,-0.01249,-0.00908
>10001	1	l1	-0.00356,0.00006,-0.00152,0.00595,0.01523,0.00006,-0.00152,0.00595,0.01523,-0.00356,-0.00152,0.00595,0.01523,-0.00356,0.00006,0.00595,0.01523,-0.00356,0.00006,-0.00152
>10001	1	l2	-0.01803,-0.01415,0.02555,-0.00415,0.00290,-0.01415,0.02555,-0.00415,0.00290,-0.01803,0.02555,-0.00415,0.00290,-0.01803,-0.01415,-0.00415,0.00290,-0.01803,-0.01415,0.02555
>10001	1	l3	0.00025,-0.00237,-0.01158,-0.00641,-0.00247,-0.00237,-0.01158,-0.00641,-0.00247,0.00025,-0.01158,-0.00641,-0.00247,0.00025,-0.00237,-0.00641,-0.00247,0.00025,-0.00237,-0.01158
>10001	1	l4	0.01322,-0.02304,0.01052,-0.00350,-0.01634,-0.02304,0.01052,-0.00350,-0.01634,0.01322,0.01052,-0.00350,-0.01634,0.01322,-0.02304,-0.00350,-0.01634,0.01322,-0.02304,0.01052
>10001	1	l5	0.00238,-0.00160,-0.02399,-0.01508,-0.03491,-0.00160,-0.02399,-0.01508,-0.03491,0.00238,-0.02399,-0.01508,-0.03491,0.00238,-0.00160,-0.01508,-0.03491,0.00238,-0.00160,-0.02399
>10001	1	l6	-0.00987,0.03494,0.00434,-0.01840,-0.04387,0.03494,0.00434,-0.01840,-0.04387,-0.00987,0.00434,-0.01840,-0.04387,-0.00987,0.03494,-0.01840,-0.04387,-0.00987,0.03494,0.00434
>10001	1	l7	-0.00452,-0.00719,-0.00513,0.00415,0.00598,-0.00719,-0.00513,0.00415,0.00598,-0.00452,-0.00513,0.00415,0.00598,-0.00452,-0.00719,0.00415,0.00598,-0.00452,-0.00719,-0.00513
