protein	class	lag	features
>10000	1	l1	0.01520,0.00624,0.01187,0.01130,0.01009
>10000	1	l2	-0.01042,-0.00076,-0.01425,0.01485,0.00543
>10000	1	l3	-0.00977,0.00328,-0.01184,-0.00791,-0.00070
>10000	1	l4	-0.00854,0.01171,-0.00349,0.00286,-0.00265
>10000	1	l5	-0.01106,-0.00199,0.00524,-0.01378,-0.00051
>10000	1	l6	-0.01629,-0.00742,0.01234,-0.01543,-0.00394
>10000	1	l7	-0.00829,0.00415,-0.00054,-0.01741,0.00671
>10000	1	l8	0.01707,0.00174,-0.01249,-0.00908,-0.00478
>10001	1	l1	0.01523,-0.00356,0.00006,-0.00152,0.00595
>10001	1	l2	0.00290,-0.01803,-0.01415,0.02555,-0.00415
>10001	1	l3	-0.00247,0.00025,-0.00237,-0.01158,-0.00641
>10001	1	l4	-0.01634,0.01322,-0.02304,0.01052,-0.00350
>10001	1	l5	-0.03491,0.00238,-0.00160,-0.02399,-0.01508
>10001	1	l6	-0.04387,-0.00987,0.03494,0.00434,-0.01840
>10001	1	l7	0.00598,-0.00452,-0.00719,-0.00513,0.00415
>10001	1	l8	0.03019,0.00578,0.00294,0.01150,0.00107
>10002	1	l1	0.00005,0.01466,-0.00316,-0.03298,-0.00373
>10002	1	l2	-0.00947,0.02485,-0.00442,0.02067,0.01811
>10002	1	l3	0.00174,0.00719,0.02880,-0.02061,0.01665
>10002	1	l4	0.00476,-0.00087,-0.01608,-0.02719,-0.00055
>10002	1	l5	-0.00137,-0.00479,0.00004,0.02172,0.02200
>10002	1	l6	-0.01712,0.00026,0.01020,-0.00167,-0.00764
>10002	1	l7	0.00011,0.02023,-0.02855,0.02580,0.02272
>10002	1	l8	-0.01326,0.01373,0.01034,0.00865,-0.01382
>10003	1	l1	-0.00352,-0.01148,0.00138,0.00766,0.00418
>10003	1	l2	0.00138,-0.01308,-0.00623,-0.00572,-0.01327
>10003	1	l3	0.02257,0.01730,-0.00022,0.01490,-0.00400
>10003	1	l4	-0.00306,-0.00921,-0.00689,0.01094,-0.00515
>10003	1	l5	0.00953,-0.01495,0.00893,0.00768,-0.01147
>10003	1	l6	0.01379,0.00331,0.00203,0.01830,-0.00057
>10003	1	l7	-0.00321,0.00774,-0.00304,0.02178,0.00475
>10003	1	l8	-0.00002,-0.00685,-0.01140,-0.00342,-0.01538
>10004	1	l1	-0.00021,-0.01278,0.00727,0.00932,-0.00265
>10004	1	l2	0.00842,-0.01891,-0.00952,0.00516,-0.00913
>10004	1	l3	0.01838,0.02410,0.00664,0.02636,0.00303
>10004	1	l4	0.00630,-0.01623,0.00581,0.01299,-0.00497
>10004	1	l5	0.01364,-0.03260,0.00141,0.01091,-0.01789
>10004	1	l6	0.01078,0.02101,0.01162,0.02192,-0.01126
>10004	1	l7	0.03025,0.01262,0.00416,0.03761,0.01081
>10004	1	l8	-0.00139,-0.03943,-0.02136,0.00186,0.00812
>10007	1	l1	-0.00034,0.00750,-0.00449,0.00204,0.00920
>10007	1	l2	-0.01416,0.00841,-0.01060,0.00994,-0.00829
>10007	1	l3	-0.01076,-0.01547,-0.00520,0.00930,0.00226
>10007	1	l4	-0.00785,-0.02985,0.00221,0.01281,0.00820
>10007	1	l5	-0.01900,0.00236,0.01391,0.00871,-0.00155
>10007	1	l6	0.01297,0.00138,-0.00567,0.01215,-0.00710
>10007	1	l7	0.02073,0.01207,0.00544,0.01419,0.00320
>10007	1	l8	0.00561,-0.00234,-0.00594,0.01289,0.00577
>10008	1	l1	-0.01107,0.01731,-0.00505,-0.00372,-0.00537
>10008	1	l2	0.00077,0.02297,0.00436,0.00648,-0.00132
>10008	1	l3	0.01052,0.00308,-0.00516,-0.00581,-0.01354
>10008	1	l4	-0.00637,0.00417,0.00179,0.01780,0.02618
>10008	1	l5	-0.01548,0.00467,0.01397,-0.00155,-0.02559
>10008	1	l6	0.02761,0.02761,0.03110,0.00636,0.01541
>10008	1	l7	-0.01157,-0.00127,-0.01740,0.00729,-0.00266
>10008	1	l8	0.01417,0.01343,0.00655,0.01178,0.00523
>10009	1	l1	0.01053,-0.00355,-0.00277,0.01593,0.00057
>10009	1	l2	-0.00601,0.00178,0.00990,0.00703,-0.00892
>10009	1	l3	-0.01174,0.01519,-0.02284,-0.00216,0.01128
>10009	1	l4	-0.02797,-0.00627,-0.00627,-0.01282,-0.01793
>10009	1	l5	-0.00430,0.00151,-0.01497,-0.00967,-0.00461
>10009	1	l6	0.00875,-0.01708,0.01127,-0.00237,-0.00196
>10009	1	l7	0.01889,0.00994,-0.00493,0.01866,0.00258
>10009	1	l8	0.01403,-0.02235,0.00271,0.00103,0.02177
>10010	1	l1	-0.00833,0.00814,-0.01757,0.00780,0.00354
>10010	1	l2	-0.03213,-0.01571,-0.00236,0.00163,0.00711
>10010	1	l3	0.03105,0.02283,0.02466,0.01246,0.01181
>10010	1	l4	0.00385,0.01165,-0.01498,-0.00231,-0.00162
>10010	1	l5	-0.04295,-0.00778,-0.00191,-0.00668,0.00347
>10010	1	l6	0.01730,-0.01729,0.00354,0.00222,0.01659
>10010	1	l7	0.02117,-0.01002,-0.01039,0.00106,0.00212
>10010	1	l8	-0.02878,-0.00595,-0.00288,-0.01306,0.00245
>10011	1	l1	0.01866,-0.02484,0.01653,0.01881,-0.00723
>10011	1	l2	0.00967,0.01495,-0.00402,0.00501,-0.01356
>10011	1	l3	-0.02654,-0.01220,-0.01270,0.00210,-0.01453
>10011	1	l4	-0.03609,-0.00211,0.03947,-0.00805,-0.00672
>10011	1	l5	-0.02221,0.00577,0.04792,-0.03740,0.04160
>10011	1	l6	-0.02006,-0.00820,0.00251,-0.02865,-0.02066
>10011	1	l7	0.00343,0.03257,-0.00123,0.00980,0.00235
>10011	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10012	1	l1	0.00129,-0.00486,0.06287,0.00024,-0.01665
>10012	1	l2	-0.01472,0.00703,-0.00220,-0.00075,0.01456
>10012	1	l3	-0.02234,-0.00084,-0.03815,0.00226,0.00271
>10012	1	l4	-0.02687,0.00490,-0.05444,-0.01018,0.03638
>10012	1	l5	0.04128,0.00775,-0.06609,0.01800,-0.03797
>10012	1	l6	0.03637,-0.01371,-0.05538,-0.03881,0.03373
>10012	1	l7	-0.00614,-0.00319,-0.01087,-0.07672,-0.00433
>10012	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10013	1	l1	-0.01286,-0.02969,-0.00239,0.01837,-0.01008
>10013	1	l2	0.02225,0.01795,-0.00592,0.00600,-0.00977
>10013	1	l3	-0.01002,-0.03220,-0.00883,0.00028,-0.01396
>10013	1	l4	-0.02138,0.01898,-0.00530,-0.00956,-0.01680
>10013	1	l5	-0.00532,-0.01233,0.05232,-0.03708,0.04552
>10013	1	l6	-0.02006,-0.00820,0.00251,-0.02865,-0.02066
>10013	1	l7	0.00343,0.03257,-0.00123,0.00980,0.00235
>10013	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10014	1	l1	0.00936,-0.02054,0.01181,0.01164,-0.00749
>10014	1	l2	0.00450,0.01649,-0.01004,0.01469,-0.01347
>10014	1	l3	-0.04207,-0.01450,-0.01121,0.02570,-0.01440
>10014	1	l4	-0.02514,-0.01175,0.03979,0.00223,-0.00642
>10014	1	l5	-0.00439,0.02407,0.04917,0.02814,0.04166
>10014	1	l6	-0.00103,-0.03137,-0.01479,0.03639,-0.02182
>10014	1	l7	0.03621,0.06238,0.00132,-0.01138,0.00302
>10014	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10015	1	l1	0.01075,-0.04062,0.01773,0.01098,-0.00863
>10015	1	l2	-0.01792,0.02053,-0.00428,0.01470,-0.01512
>10015	1	l3	-0.00787,0.01027,-0.01276,0.00615,-0.01794
>10015	1	l4	-0.00759,-0.04211,0.03927,0.01616,-0.00730
>10015	1	l5	0.00484,0.05076,0.05037,-0.01605,0.05274
>10015	1	l6	0.01488,-0.05162,0.00224,-0.03386,-0.02554
>10015	1	l7	0.00343,0.03257,-0.00123,0.00980,0.00235
>10015	1	l8	0.00000,0.00000,0.00000,0.00000,0.00000
>10016	1	l1	0.00252,-0.00745,-0.00628,-0.02420,-0.00026
>10016	1	l2	0.02184,-0.00591,0.00122,-0.01144,0.00740
>10016	1	l3	0.00541,0.00929,-0.00374,0.01639,0.00782
>10016	1	l4	0.00184,-0.00336,-0.00409,-0.02778,-0.00182
>10016	1	l5	0.00670,0.01144,-0.00199,0.00980,-0.00576
>10016	1	l6	-0.01003,-0.01051,0.00407,0.00179,-0.00767
>10016	1	l7	0.00414,-0.01464,0.00459,-0.02300,-0.00063
>10016	1	l8	-0.02111,0.02445,0.00481,0.00098,0.01911
>10017	1	l1	-0.00229,-0.01604,-0.00008,-0.00800,0.00005
>10017	1	l2	0.01030,-0.00060,-0.00351,0.01293,0.01682
>10017	1	l3	0.00563,-0.00643,-0.00187,0.01686,-0.01270
>10017	1	l4	0.00304,0.00907,-0.00503,0.00271,0.01390
>10017	1	l5	0.00361,0.00358,-0.00126,0.01270,-0.01104
>10017	1	l6	0.00715,0.01565,0.00077,0.00692,0.01620
>10017	1	l7	-0.00528,-0.02348,0.00493,-0.01098,-0.03123
>10017	1	l8	0.00083,0.02355,0.00390,0.01908,-0.00602
>10018	1	l1	-0.00316,0.00089,-0.00702,0.01593,-0.00814
>10018	1	l2	0.00054,0.02152,-0.02317,0.01855,-0.00906
>10018	1	l3	0.00247,0.00161,0.02672,0.01610,0.00884
>10018	1	l4	0.00981,0.02662,0.01310,0.01742,-0.00081
>10018	1	l5	-0.00638,0.00489,-0.01893,0.01931,-0.00813
>10018	1	l6	0.00946,0.01843,-0.00179,0.01246,-0.00103
>10018	1	l7	0.00757,0.01058,0.02579,0.01750,-0.01928
>10018	1	l8	0.00213,0.00691,0.00149,0.01920,-0.01644
>10019	1	l1	-0.00494,0.01139,-0.00892,0.00467,-0.00582
>10019	1	l2	-0.00269,0.00859,-0.01568,-0.00773,-0.01142
>10019	1	l3	0.01407,0.01446,0.03307,0.00191,0.03158
>10019	1	l4	-0.00763,0.00307,0.00389,0.01285,-0.00815
>10019	1	l5	-0.01087,-0.00045,-0.00462,0.00457,0.00300
>10019	1	l6	0.00726,0.01057,0.01308,-0.01016,0.00894
>10019	1	l7	0.01279,-0.00813,0.02215,0.01465,-0.01309
>10019	1	l8	-0.00687,-0.01281,0.00268,0.01726,0.01581
>10020	1	l1	-0.00643,0.01031,0.00355,-0.00920,0.01558
>10020	1	l2	-0.00855,-0.00513,0.00378,-0.00595,-0.00501
>10020	1	l3	0.00955,0.00010,0.00345,0.00728,0.00369
>10020	1	l4	-0.01542,-0.00586,-0.00558,0.00829,0.00143
>10020	1	l5	-0.01358,-0.00982,0.00246,-0.00759,0.01027
>10020	1	l6	0.00940,0.00386,-0.00120,0.00536,0.01338
>10020	1	l7	0.00668,0.01564,-0.00139,0.01322,0.00554
>10020	1	l8	0.00945,0.01384,0.00415,0.01416,0.00684
>10021	1	l1	0.01115,0.01122,-0.02121,-0.00802,-0.00690
>10021	1	l2	0.00835,0.02249,-0.01639,0.01056,-0.01620
>10021	1	l3	-0.02343,-0.01389,0.00816,-0.00432,0.00452
>10021	1	l4	-0.03149,-0.01065,-0.00671,0.00888,-0.00226
>10021	1	l5	-0.02850,0.02033,0.02664,-0.00170,0.01496
>10021	1	l6	0.01014,-0.02157,-0.02929,0.00383,0.00417
>10021	1	l7	0.02175,0.06619,0.00168,-0.00061,-0.02080
>10021	1	l8	0.03811,0.03821,0.00730,-0.00351,-0.00192
>10022	1	l1	0.02471,0.01050,0.01198,-0.00895,-0.01116
>10022	1	l2	0.01086,-0.02812,0.02088,0.00124,-0.00836
>10022	1	l3	-0.00174,-0.00808,-0.03451,0.01248,0.00742
>10022	1	l4	-0.01136,0.00221,-0.01258,-0.01427,0.01413
>10022	1	l5	-0.01984,0.00324,-0.05355,0.01438,0.02552
>10022	1	l6	-0.02225,-0.04718,-0.03499,-0.00024,0.03310
>10022	1	l7	-0.00316,-0.00108,-0.04152,0.01635,-0.06072
>10022	1	l8	-0.00223,0.00788,0.02874,0.02547,0.02604
>10023	1	l1	-0.01302,0.00211,-0.01660,-0.00614,-0.00395
>10023	1	l2	0.01864,0.01163,0.04522,-0.00299,0.02429
>10023	1	l3	-0.00985,0.00171,-0.02764,-0.01705,0.01494
>10023	1	l4	0.02462,0.02285,0.02174,0.00391,0.01131
>10023	1	l5	-0.01365,-0.01293,-0.04664,-0.00966,0.06381
>10023	1	l6	0.03343,0.00851,0.01396,0.00964,-0.00506
>10023	1	l7	-0.01132,0.03997,-0.06126,0.02481,0.03261
>10023	1	l8	-0.02733,0.03240,0.02542,-0.00266,0.00853
>10025	1	l1	0.01188,-0.00055,0.00002,0.00375,-0.00362
>10025	1	l2	-0.00355,-0.01866,-0.01416,0.01438,-0.00810
>10025	1	l3	-0.00104,-0.00963,-0.00235,0.00747,-0.00052
>10025	1	l4	-0.01110,0.01622,-0.02302,0.01868,0.00188
>10025	1	l5	-0.03028,0.00326,-0.00156,-0.01061,-0.02717
>10025	1	l6	-0.04529,-0.00120,0.03495,0.01208,0.00089
>10025	1	l7	0.00965,-0.00872,-0.00730,0.00190,0.01216
>10025	1	l8	0.03019,0.00578,0.00294,0.01150,0.00107
>10026	1	l1	-0.01092,0.00204,0.00453,-0.00294,-0.00017
>10026	1	l2	0.01048,-0.01725,-0.00144,-0.01300,-0.00682
>10026	1	l3	-0.01815,-0.01132,-0.00223,0.00244,-0.02492
>10026	1	l4	-0.00187,0.00395,0.00049,0.00866,0.00428
>10026	1	l5	-0.01226,-0.01340,0.00192,-0.00584,-0.00124
>10026	1	l6	-0.00918,-0.00148,-0.00482,0.00407,-0.01363
>10026	1	l7	0.01714,0.00763,0.00552,0.03638,0.02331
>10026	1	l8	-0.01833,-0.00085,-0.01150,-0.03396,0.00653
>10027	1	l1	0.01279,0.00326,-0.00081,-0.00581,0.01251
>10027	1	l2	-0.01055,0.01848,0.00252,-0.00597,-0.01342
>10027	1	l3	-0.02022,0.02465,-0.00394,-0.04277,-0.01333
>10027	1	l4	-0.01667,-0.02200,0.00228,-0.00398,-0.01273
>10027	1	l5	-0.01969,0.02525,0.01388,-0.01660,0.01643
>10027	1	l6	-0.00514,0.01642,-0.01010,0.05366,0.03034
>10027	1	l7	0.02938,0.03696,-0.00034,-0.00315,0.01365
>10027	1	l8	0.03422,0.02255,0.00828,0.00212,-0.01233
>10028	1	l1	0.00537,0.02027,0.00156,-0.03454,0.00989
>10028	1	l2	-0.00837,-0.00240,-0.00046,0.00947,0.01347
>10028	1	l3	-0.00910,0.01839,-0.00064,-0.02071,0.00113
>10028	1	l4	-0.00246,-0.01569,0.00045,0.01742,-0.00773
>10028	1	l5	-0.00870,-0.01678,0.00097,-0.00426,0.01266
>10028	1	l6	-0.02507,0.03133,0.00051,0.02339,0.02168
>10028	1	l7	-0.00079,0.03001,0.00098,0.01211,0.02816
>10028	1	l8	0.01218,0.02327,-0.00024,-0.05003,0.02725
>10029	1	l1	-0.01097,0.00223,-0.02198,-0.00008,0.01788
>10029	1	l2	-0.00381,-0.00323,-0.00267,-0.00379,0.00232
>10029	1	l3	-0.00531,-0.00898,-0.02035,-0.03567,0.03847
>10029	1	l4	0.01686,-0.01573,0.03894,-0.00311,0.00958
>10029	1	l5	0.00357,-0.00855,-0.00455,-0.01558,0.01098
>10029	1	l6	-0.01366,0.00177,-0.01075,0.05029,0.00685
>10029	1	l7	0.00478,0.00556,-0.00854,0.02602,-0.04124
>10029	1	l8	0.00669,-0.01367,0.02423,-0.00197,-0.02291
>10030	1	l1	-0.01568,0.00062,-0.00707,-0.00028,0.00855
>10030	1	l2	-0.00002,0.00208,-0.00367,-0.00384,-0.00131
>10030	1	l3	-0.00783,-0.00717,-0.01713,-0.03731,0.05257
>10030	1	l4	0.01703,-0.01418,0.01466,-0.00298,0.00199
>10030	1	l5	-0.00429,-0.00885,-0.00041,-0.01557,0.00118
>10030	1	l6	-0.00899,-0.00359,-0.00372,0.05136,0.02646
>10030	1	l7	0.00952,0.00237,-0.01084,0.02586,-0.03420
>10030	1	l8	-0.00377,-0.01084,0.00703,-0.00083,-0.00036
>10031	1	l1	-0.00939,0.00896,0.01307,-0.00653,0.01667
>10031	1	l2	-0.00142,0.00663,0.00626,0.00624,0.02001
>10031	1	l3	0.00111,-0.00054,0.00913,0.02205,0.01114
>10031	1	l4	-0.01703,-0.00089,-0.01146,-0.00583,0.01368
>10031	1	l5	0.01540,-0.00791,-0.00441,0.03142,0.00547
>10031	1	l6	0.00678,-0.01170,-0.01275,-0.01906,-0.01139
>10031	1	l7	-0.00077,0.00213,-0.01225,0.04076,0.00443
>10031	1	l8	0.00853,-0.00087,-0.02062,0.00303,-0.01274
>10032	1	l1	-0.00939,0.00896,0.01307,-0.00653,0.01667
>10032	1	l2	0.00021,0.00684,0.00643,0.01206,0.01733
>10032	1	l3	-0.00092,-0.00056,0.00523,0.00949,0.00913
>10032	1	l4	-0.01927,-0.00114,-0.00797,-0.01607,0.02001
>10032	1	l5	0.01965,-0.00766,-0.00374,0.04241,0.00090
>10032	1	l6	0.00093,-0.01197,-0.01039,-0.00170,-0.00972
>10032	1	l7	0.00801,0.00243,-0.01174,0.02567,0.00317
>10032	1	l8	0.00389,-0.00120,-0.02434,0.00944,-0.00815
>10033	1	l1	0.01062,0.01057,-0.00029,-0.00435,-0.01567
>10033	1	l2	-0.01236,-0.00087,-0.00204,-0.01755,0.01431
>10033	1	l3	0.00307,-0.01375,-0.00300,-0.00212,0.00791
